City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
532,Ocos,GT,78.98,broken clouds,14.5094,-92.1933,Auto Hotel El Soñador
533,Beruwala,LK,82.72,overcast clouds,6.4788,79.9828,The Palms Hotel
540,Aquiraz,BR,75.29,clear sky,-3.9014,-38.3911,Pousada Rua Camurupim
541,Canon City,US,77.18,broken clouds,38.441,-105.2424,Travel Inn Motel
542,Abu Kamal,SY,87.8,clear sky,34.4506,40.9171,البوكمال
543,Rantepao,ID,79.16,broken clouds,-2.9701,119.8978,Hotel Luta Resort
544,Sola,VU,80.76,broken clouds,-13.8833,167.55,Leumerus Bungalows
546,Loa Janan,ID,85.53,overcast clouds,-0.583,117.095,Kost bu jono
549,Sorada,IN,89.98,overcast clouds,19.75,84.4333,PWD Guest House
550,Birobidzhan,RU,82.81,light rain,48.8,132.95,Hotel Central (Vostok)
553,Salalah,OM,77.09,mist,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
557,Seoul,KR,89.2,broken clouds,37.5683,126.9778,Lotte Hotel Seoul
558,Anchorage,US,75.13,clear sky,61.2181,-149.9003,Hotel Captain Cook
560,Praia,CV,75.74,few clouds,14.9215,-23.5087,LT Aparthotel
562,Real,PH,86.97,light rain,14.6625,121.6047,Aranda beach resort
565,Konibodom,TJ,83.93,clear sky,40.2843,70.4426,"Hotel ""Orom"""
569,Nabire,ID,85.15,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
571,Jabinyanah,TN,76.8,clear sky,35.035,10.9081,maison belmabrouk
572,Ancona,IT,75.67,clear sky,43.55,13.1667,Casa Vandina - B&B
573,Hazorasp,UZ,78.64,clear sky,41.3194,61.0742,Kemping wifi hotel
574,Lamar,US,86.65,clear sky,33.6668,-95.5836,Kings Inn Paris TX
575,Juarez,MX,88.61,scattered clouds,31.7333,-106.4833,Hotel Santa Fe
583,Big Spring,US,84.65,clear sky,32.2504,-101.4787,Hampton Inn & Suites Big Spring
587,Waddan,LY,76.71,clear sky,29.1614,16.139,محل الشريف محمد العايب
588,Luquillo,PR,80.02,scattered clouds,18.3725,-65.7166,Yunque Mar Beach Hotel
589,Micco,US,84.22,few clouds,27.8806,-80.5003,Seashell Suites Resort
593,Bawku,GH,75.92,few clouds,11.0616,-0.2417,Ultimate Guest House
594,Basco,PH,84.13,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
597,Benjamin Hill,MX,82.92,clear sky,30.1667,-111.1,Hotel Benjamín Hill
600,Ambunti,PG,85.53,overcast clouds,-4.2365,142.8448,AMBUNTI HIDE INN
603,Sabzevar,IR,76.28,clear sky,36.2126,57.6819,پزشکی قانونی سبزوار
605,Biltine,TD,79.88,clear sky,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
610,Abu Zabad,SD,78.03,few clouds,12.35,29.25,حامد محمد نور
614,Riyadh,SA,86.14,scattered clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
616,Alexandria,EG,76.96,clear sky,31.2156,29.9553,Royal Crown Hotel
619,Gandevi,IN,80.49,overcast clouds,20.8167,72.9833,Suncity Complex
621,Aden,YE,87.03,broken clouds,12.7794,45.0367,Sama Emirate Hotel
623,La Palma,US,75.42,few clouds,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
626,Safaga,EG,88.43,clear sky,26.7292,33.9365,Lamar Resort Abu Soma
628,East Brunswick,US,75.99,overcast clouds,40.4279,-74.416,SureStay Hotel By Best Western East Brunswick
629,Armeria,MX,78.67,broken clouds,18.9333,-103.9667,Hotel la Herradura
633,Varadero,CU,75.96,scattered clouds,23.1536,-81.2514,Hotel Tuxpan Varadero
634,Afzalpur,IN,77.72,overcast clouds,17.2,76.35,Bhagyavanti hotel (ಭಾಗ್ಯವಂತಿ ಹೋಟೆಲ್ ಅಫಜಲಪೂರ)
636,Porto Novo,BJ,76.82,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
637,Sao Felix Do Xingu,BR,75.83,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
641,Manaus,BR,79.29,clear sky,-3.1019,-60.025,Manaus Hotéis Millennium
648,Tautira,PF,78.33,light rain,-17.7333,-149.15,Pension Oaoa
662,Xining,CN,75.79,clear sky,36.6167,101.7667,Super Leisure Hotel
665,Sabancuy,MX,78.24,overcast clouds,18.9667,-91.1833,pulpo
666,Veraval,IN,79.81,moderate rain,20.9,70.3667,Lords Inn Somnath
667,Les Cayes,HT,77.13,scattered clouds,18.2,-73.75,Villa Orphee
669,Prescott,US,78.28,clear sky,34.54,-112.4685,Prescott Resort & Conference Center
673,Roxana,CR,78.03,overcast clouds,10.2753,-83.7513,3BYES1
679,Zhumadian,CN,88.48,broken clouds,32.9794,114.0294,Ouyue House Hotel
680,Dosso,NE,81.66,broken clouds,13.049,3.1937,Hotel Toubal
681,Jawhar,SO,78.31,overcast clouds,2.7809,45.5005,Hotel Shabelle
683,Wanning,CN,88.59,moderate rain,18.8003,110.3967,Paradise Hotel
684,Tateyama,JP,84.09,overcast clouds,34.9833,139.8667,Tateyama Seaside Hotel
686,Bani Walid,LY,79.43,clear sky,31.7566,13.9942,منزل مفتاح محمد الزلبي
