City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
315,Omaruru,NA,-21.4333,15.9333,53.01,55,0,3.78,clear sky
316,Blagoveshchensk,RU,50.2667,127.5333,86.61,62,40,15.66,scattered clouds
317,Deseronto,CA,44.2001,-77.0494,67.73,98,84,6.93,broken clouds
318,Husavik,IS,66.0449,-17.3389,41.95,86,44,3.65,scattered clouds
319,Goundam,ML,16.4145,-3.6708,86.95,39,6,12.97,clear sky
320,Andilamena,MG,-17.0167,48.5833,57.02,86,28,7.49,scattered clouds
321,Burnie,AU,-41.0667,145.9167,52.95,90,100,12.01,light rain
322,Zhigansk,RU,66.7697,123.3711,62.83,40,67,19.69,broken clouds
323,Kamyzyak,RU,46.11,48.0736,69.78,52,0,6.71,clear sky
324,General Pico,AR,-35.6566,-63.7568,42.82,72,0,8.95,clear sky
325,Tame,CO,6.461,-71.73,70.16,93,22,3.85,few clouds
326,Manawar,IN,22.2333,75.0833,86.14,65,41,10.94,scattered clouds
327,Carupano,VE,10.6678,-63.2585,75.83,91,100,6.85,overcast clouds
328,Bend,US,44.0582,-121.3153,61.27,85,75,5.75,broken clouds
329,Kimberley,ZA,-28.7323,24.7623,40.69,100,20,5.75,few clouds
330,Sur,OM,22.5667,59.5289,86.25,70,100,14.97,light rain
331,Hengshui,CN,37.7322,115.7011,85.91,60,97,16.2,overcast clouds
332,La Asuncion,VE,11.0333,-63.8628,80.33,89,100,13.8,overcast clouds
333,Gubkin,RU,51.2817,37.5458,73.2,69,4,3.42,clear sky
334,Barra Patuca,HN,15.8,-84.2833,79.48,85,98,10.25,overcast clouds
335,Yulara,AU,-25.2406,130.9889,62.87,16,0,6.31,clear sky
336,Bengbu,CN,32.9408,117.3608,79.81,83,100,15.55,overcast clouds
337,Baoding,CN,38.8511,115.4903,88.65,53,55,10.38,broken clouds
338,Alta Floresta,BR,-9.8756,-56.0861,66.09,60,24,2.01,few clouds
339,Medea,DZ,36.2642,2.7539,75.22,45,90,2.71,overcast clouds
340,Bud,US,39.447,-86.1758,87.78,95,39,3.18,scattered clouds
341,Rosetta,EG,31.4044,30.4164,78.62,62,0,11.65,clear sky
342,Camacha,PT,33.0833,-16.3333,63.82,68,75,10.36,broken clouds
343,Vitim,RU,59.4511,112.5578,69.19,55,95,6.02,overcast clouds
344,Chernushka,RU,56.5072,56.0766,59.31,79,100,4.38,overcast clouds
345,Flinders,AU,-34.5833,150.8552,62.19,86,100,3.0,overcast clouds
346,Wairoa,NZ,-39.0333,177.3667,53.55,80,100,1.99,overcast clouds
347,Kenai,US,60.5544,-151.2583,69.03,80,40,16.11,scattered clouds
